Game ID,Year,Region,Team Blue,Team Red,Winner,FT5 Winner,Champ 1,Champ 2,Champ 3,Champ 4,Champ 5,Champ 6,Champ 7,Champ 8,Champ 9,Champ 10
72322,2025,LPL,Edward Gaming,JD Gaming,Edward Gaming,N/A,Ambessa,Jarvan IV,Orianna,Corki,Nautilus,Sion,Pantheon,Akali,Yunara,Leona
72323,2025,LPL,JD Gaming,Edward Gaming,JD Gaming,N/A,KSante,Qiyana,Annie,Lucian,Braum,Renekton,Xin Zhao,Taliyah,Kaisa,Alistar
72324,2025,LPL,Edward Gaming,JD Gaming,Edward Gaming,N/A,Kennen,Trundle,Ryze,Varus,Rell,Jax,Zed,Aurora,Miss Fortune,Rakan
72325,2025,LPL,JD Gaming,Edward Gaming,JD Gaming,N/A,Ornn,Wukong,Galio,Caitlyn,Karma,Rumble,Naafiri,Twisted Fate,Jhin,Elise
72326,2025,LPL,Edward Gaming,JD Gaming,JD Gaming,N/A,Aatrox,Poppy,Ahri,Senna,Maokai,Mordekaiser,Skarner,Viktor,Zeri,Lulu
72327,2025,LPL,Ninjas in Pyjamas,Anyone s Legend,Ninjas in Pyjamas,N/A,Ornn,Qiyana,Annie,Yunara,Neeko,Rumble,Jarvan IV,Orianna,Corki,Bard
72328,2025,LPL,Anyone s Legend,Ninjas in Pyjamas,Anyone s Legend,N/A,Sion,Naafiri,Ryze,Sivir,Leona,Ambessa,Pantheon,Viktor,Senna,Braum
72329,2025,LPL,Ninjas in Pyjamas,Anyone s Legend,Anyone s Legend,N/A,Renekton,Wukong,Taliyah,Kaisa,Nautilus,Jayce,Trundle,Akali,Varus,Rell
72330,2025,LPL,Ninjas in Pyjamas,Anyone s Legend,Anyone s Legend,N/A,Jax,Olaf,Karma,Smolder,Alistar,KSante,Xin Zhao,Kassadin,Miss Fortune,Rakan
72332,2025,LPL,Bilibili Gaming,Invictus Gaming,Bilibili Gaming,N/A,Renekton,Jarvan IV,Aurora,Yunara,Leona,Ornn,Trundle,Ryze,Corki,Nautilus
